CRA,PHDW-001,Participant,9,0,1,Entrant,,,,Instinct Affinity,Normal,Movement,,,"Move your bordering [summon] [1], then move this to the [zone] it was in.",An average boy with an average dream - inheriting his family's modest bakery. Yet underneath his weak presence lies a kindness that seems to temper the wildness of beasts.,Mark Reid
CRA,PHDW-006,Wandering Lion,9,3,1,Summon,,,,Primal Instinct,Normal,Damage,,[target] [1] bordering [zone]:,"This deals its [attack] to [target].
If that discarded a [summon][or][spirit], this must move to [target], then it must deal its [attack] to a bordering [gate], if there is one.",A wild beast driven more by hunger and thirst than by any command of yours.,Mark Reid
CRA,PHDW-007,Hunting Eagle,3,0,2,Summon,,,Ready this.,Rapid Instinct,Fast,Movement,,[target] [1] bordering [zone]:,"Deal [2] to [target], then this can move to an empty bordering [zone].",A beast whose intense focus allows it to act between the thoughts of others.,Mark Reid
CRA,PHDW-008,Impeding Golem,3,6,1,Summon,,,Bordering [gate] gain [3] [defense] until the end of this Sequence.,Stubborn Instinct,Passive,Defense,,,This can be Opened from your [hand] as if it was a Fast [gate].,"As much a beast as it is the landscape itself, once it settles it's rarely moved.",Mark Reid
CRA,PHDW-009,Defusing Weasel,0,0,2,Summon,,Neither player can add to this Sequence.,Ready this.,Deft Instinct,Normal,Special,,Neither player can add to this Sequence.,"Discard [1] bordering ""Sealed"" [gate],
or [1] bordering Branched [gate].",A spy whose small stature and calm demeanor allow it to infiltrate those threats unsolvable by brute strength.,Mark Reid
CRA,PHDW-010,Basic Slime,1,0,1,Summon,,[foresee] [2]:,"Add any number of ""Slime"" [summon] from your [foresee] to your [hand].",Potion Potential,Passive,Resource,,,"Any effect that discards this from the field gains this text:
""Ready [1] of your [summon][or][spirit].""","It doesn't think about much, blissfully unaware of its own liquid body's medicinal value.",Mark Reid
CRA,PHDW-011,Pathfinding Pixie,2,1,2,Summon,,[foresee] [2]:,Discard your [foresee].,Shattered Surveyor,Normal,Special,,Shatter [1] [gate] from either player's [discard]:,,"Unable to contain her curiosity for Shattered gates, she helps Entrants from other Paths than her own so as to encounter more.",Placeholder
CRA,PHDW-012,Lumbering Tortoise,15,9,0,Summon,,,,Colossal Instinct,Normal,Movement,,,This moves to an empty bordering [zone].,"It exerts a tremendous effort just to move its own body, so convincing it to do so can be quite a task as well.",Mark Reid
CRA,PHDW-013,First Form - Punch,,,,Normal,,[target] [1] [zone] that borders your [gate].,"Deal [3] to [target].
If [target] borders your [entrant], deal [6] more.",,,,,,,"A regular punch, whose reach and power have been strengthened by a Gate.",Mark Reid
CRA,PHDW-014,First Form - Block,,,,Fast,,[target] [1] [zone] with your [gate].,"[target] gains [3] [defense] for the rest of this sequence.
If [target] borders or has your [entrant], it gains [6] more.",,,,,,,"A regular block, whose reach and power have been strengthened by a Gate.",Mark Reid
CRA,PHDW-015,Stone Throw,,,,Fast,,[target] any [1] [zone]:,"Deal [2] to [target], and each [zone] it borders.",,,,,,,"Called through a Gate, even plain gravel has its uses.",Mark Reid
CRA,PHDW-016,Zodiac Rooster - Weathervane,8,2,1,Summon,,,,Windfacing Instinct,Passive,Special,,,"When this moves or attacks with its own action,
it can treat a [zone] sharing a corner with it as if it was bordering it.","A rooster that glides against the wind - somehow, it can sense the true orientation of the world.",Placeholder
CRA,PHDW-017,Tripwire,,,,Normal,,"Open this face-down as a ""Sealed Gate"" [summon] with
[0] [attack], [2] [defense], and [0] [movement].",,Shocking Slipup,Fast,Flip,,"While this is a ""Sealed Gate"", Rest it to Flip it face-up:",Negate any [skill] of a [gate] in a bordering [zone] for the rest of this Sequence.,"""UwaHH! Who PUT this here?!""",Mark Reid
CRA,PHDW-018,Dissonant Gate,,,,Normal,,"Open this face-down as a ""Sealed Gate"" [summon] with
[0] [attack], [2] [defense], and [0] [movement].",,Negative Response,Fast,Flip,,"While this is a ""Sealed Gate"", Rest it to Flip it face-up:",Negate any Open effect of a [gate] in a bordering [zone] for the rest of this Sequence.,"A strange Gate whose frequency counters that of other opening Gates, weakening them significantly.",Mark Reid
CRA,PHDW-019,Escape Route,,,,Normal,,"Open this face-down as a ""Sealed Gate"" [summon] with
[0] [attack], [2] [defense], and [0] [movement].",,Discovered Direction,Fast,Flip,,"While this is a ""Sealed Gate"", Rest it to Flip it face-up:","Switch this with your bordering [gate], then flip it face-down as a ""Sealed Gate"" in its [zone].",A significant advantage can be gained from an understanding of the land around you.,Mark Reid
